Category,Formula Name,Formula,Definition,Input Variables,Output,Example Calculation,Notes
Page 1 - Income,Total Annual Income,"(Monthly Salary × 12) + Annual Bonus + (Rental × 12) + (Business × 12) + (Investment × 12) + (Other × 12)","Sum of all income sources converted to annual basis","Salary, Bonus, Rental, Business, Investment, Other Income",Total Income (₹),"Salary: ₹2,30,000/mo, Bonus: ₹8,50,000, Rental: ₹12,000/mo → ₹40,18,000/year","Monthly amounts multiplied by 12"
Page 1 - Expenses,Total Annual Expenses,"(Rent × 12) + (School × 12) + (Household × 12) + (EMI × 12) + Vacation + Discretionary + Life Ins + Health Ins + Maintenance","Sum of all expenses converted to annual basis","Rent, School Fees, Household, EMI, Vacation, Discretionary, Insurance, Maintenance",Total Expenses (₹),"Rent: ₹38,000/mo, School: ₹13,000/mo, Household: ₹64,998/mo → ₹23,17,975/year","Monthly amounts multiplied by 12"
Page 1 - Savings,Net Annual Savings,Total Income - Total Expenses,Amount available for investment after all expenses,Total Income and Total Expenses,Net Savings (₹),₹40,18,000 - ₹23,17,975 = ₹17,00,025,Higher savings rate accelerates FIRE
Page 1 - Savings,Savings Rate,(Net Savings / Total Income) × 100,Percentage of income saved annually,Net Savings and Total Income,Savings Rate (%),(₹17,00,025 / ₹40,18,000) × 100 = 42.3%,Higher % = faster FIRE
Page 1 - Savings,Monthly Savings,Net Annual Savings / 12,Average monthly investment amount,Net Annual Savings,Monthly Savings (₹),₹17,00,025 / 12 = ₹1,41,669,Used for FIRE calculator
Page 2 - Balance,Total Assets,Sum(Mutual Funds + FD + House + PF + Gold + ...),Current market value of all assets owned,Individual asset values,Total Assets (₹),"MF: ₹10L, FD: ₹5L, House: ₹1.5Cr → ₹1,76,00,000",1L = ₹1,00,000; 1Cr = ₹1,00,00,000
Page 2 - Balance,Total Liabilities,Sum(House Loan + Personal Loan + Education + Car + ...),Outstanding principal on all loans,Individual liability values,Total Liabilities (₹),"House: ₹80L, Car: ₹5L → ₹85,00,000",Only principal not interest
Page 2 - Balance,Net Worth,Total Assets - Total Liabilities,Current financial position,Total Assets and Total Liabilities,Net Worth (₹),₹1,76,00,000 - ₹85,00,000 = ₹91,00,000,Starting point for FIRE calculation
Page 2 - Visual,Balance Tilt,"min(15, max(-15, (Assets - Liabilities) / 1,000,000))",Visual representation of asset/liability balance,Total Assets and Total Liabilities,Tilt Angle (degrees),Net Worth ₹91L → ~9.1° tilt,Range: -15° to +15°
Page 4 - FIRE,Retirement Expense Today,Annual Expenses × (Retirement Expense % / 100),Expected annual expenses during retirement,Annual Expenses and Retirement %,Retirement Expense (₹),₹23,17,975 × 0.80 = ₹18,54,380,Default 80% (lower in retirement)
Page 4 - FIRE,FI Target Today,Retirement Expense Today × 25,Portfolio needed for financial independence (4% rule),Retirement Expense Today,FI Target (₹),₹18,54,380 × 25 = ₹4,63,59,500,Based on Trinity Study / 4% SWR
Page 4 - FIRE,Safe Withdrawal Rate,FI Target × 0.04,Annual amount that can be safely withdrawn,FI Target,Annual Withdrawal (₹),₹4,63,59,500 × 0.04 = ₹18,54,380,Inverse of 25× rule
Page 4 - Simulation,Initial Wealth (Year 0),Current Net Worth,Starting portfolio value from Page 2,Net Worth from Page 2,Initial Wealth (₹),₹91,00,000,From Assets - Liabilities
Page 4 - Simulation,Initial Savings (Year 0),Monthly Savings × 12,Annual investment capacity,Monthly Savings from Page 1,Annual Savings (₹),₹1,41,669 × 12 = ₹17,00,028,From Page 1 calculations
Page 4 - Simulation,Market Crash Impact,"Wealth₀ × (1 - Crash%/100) [if year=0]",Immediate portfolio decline in Year 1,Starting Wealth and Crash %,Wealth After Crash (₹),"₹91,00,000 × (1 - 0.30) = ₹63,70,000",Only applied in Year 0
Page 4 - Simulation,Savings Multiplier - Base,1.0,Default multiplier when no shocks,None,Multiplier,1.0,Modified by various scenarios
Page 4 - Simulation,Savings Multiplier - Job Gap,"Base × (1 - Income Loss%/100)",Reduction during unemployment period,Income Loss % and Gap Duration,Multiplier,"If 100% loss: 1.0 × 0 = 0 (zero savings)",Applied for Gap Years
Page 4 - Simulation,Savings Multiplier - Post Gap,"Base × (1 - Post Loss%/100)",Reduced income after returning to work,Post-Gap Loss % and Duration,Multiplier,"If 20% loss: 1.0 × 0.80 = 0.80",Applied after Gap Years
Page 4 - Simulation,Savings Multiplier - Caregiving,0,Complete cessation of savings,Caregiving Duration,Multiplier,0,No savings possible during caregiving
Page 4 - Simulation,Savings Multiplier - Rate Shock,"Base × (1 - Shock%/100) [years 0-2]",Temporary savings reduction,Savings Rate Shock %,Multiplier,"If 50% shock: 1.0 × 0.50 = 0.50",Only first 3 years
Page 4 - Simulation,Annual Wealth Growth - Step 1,"Wealthₙ₋₁ + (Annual Savings × Savings Multiplier)",Add current year's savings to portfolio,Previous Wealth and Annual Savings,Wealth After Savings (₹),"₹91,00,000 + ₹17,00,025 = ₹1,08,00,025",Savings added before returns
Page 4 - Simulation,Annual Wealth Growth - Step 2,"Wealth - One-Time Emergency [if year=0]",Subtract emergency expense in first year,Wealth and Emergency Amount,Wealth After Emergency (₹),"₹1,08,00,025 - ₹10,00,000 = ₹98,00,025",Only Year 0
Page 4 - Simulation,Annual Wealth Growth - Step 3,"Wealth - (Medical Monthly × 12)",Subtract recurring medical costs,Wealth and Medical Expenses,Wealth After Medical (₹),"₹98,00,025 - (₹20,000 × 12) = ₹95,60,025",For Medical Duration years
Page 4 - Simulation,Annual Wealth Growth - Step 4,"Wealth × (1 + ROI%/100)",Apply investment returns,Wealth and ROI %,Wealth After Returns (₹),"₹95,60,025 × 1.12 = ₹1,07,07,228",Compounded annually
Page 4 - Simulation,Annual Savings Growth,"Annual Savingsₙ₋₁ × (1 + Income Growth%/100)",Income and savings increase over time,Previous Savings and Growth %,Next Year Savings (₹),"₹17,00,025 × 1.07 = ₹18,19,027",For next year calculation
Page 4 - Simulation,Annual Expense Growth,"Annual Expensesₙ₋₁ × (1 + Expense Growth%/100)",Living costs increase over time,Previous Expenses and Growth %,Next Year Expenses (₹),"₹23,17,975 × 1.06 = ₹24,57,054",For FI target adjustment
Page 4 - Simulation,Inflation-Adjusted Retirement Expense,"Retirement Expense₀ × (1 + Inflation%)ⁿ",Future value of retirement expenses,Base Retirement Expense and Years,Future Retirement Expense (₹),"₹18,54,380 × (1.06)⁵ = ₹24,81,207",Year n calculation
Page 4 - Simulation,FI Target in Year n,Retirement Expenseₙ × 25,Moving target that grows with inflation,Inflation-Adjusted Retirement Expense,FI Targetₙ (₹),₹24,81,207 × 25 = ₹6,20,30,175,Must exceed this to FIRE
Page 4 - Simulation,FIRE Achievement Test,Wealthₙ >= FI Targetₙ,Check if financial independence achieved,Current Wealth and FI Target,Boolean (Yes/No),"₹6,45,00,000 >= ₹6,20,30,175 → Yes!",Simulation stops when true
Page 4 - Simulation,FIRE Age,Current Age + n,Age at which FIRE is achieved,Starting Age and Years,Age (years),32 + 13 = 45 years,When Wealth >= FI Target
Page 4 - Simulation,Time to FI,n,Number of years until FIRE,Simulation year counter,Years,13 years,Duration of accumulation phase
Page 4 - Stress,Portfolio ROI,"Wealthₙ = Wealthₙ₋₁ × (1 + ROI%/100)",Annual nominal investment returns,Wealth and ROI %,Grown Wealth (₹),"₹1,00,00,000 × 1.12 = ₹1,12,00,000",Typical: 8-15%
Page 4 - Stress,Inflation Impact,"Expenseₙ = Expense₀ × (1 + Inflation%)ⁿ",Purchasing power erosion over time,Base Expense and Years,Future Expense (₹),"₹10,00,000 × (1.06)¹⁰ = ₹17,90,848",India typical: 5-7%
Page 4 - Stress,Real Return,"[(1 + Nominal) / (1 + Inflation)] - 1",Inflation-adjusted actual returns,Nominal ROI and Inflation,Real Return (%),"[(1.12) / (1.06)] - 1 = 5.66%",True wealth growth
Page 4 - Stress,Income Growth,"Savingsₙ = Savingsₙ₋₁ × (1 + Growth%/100)",Annual salary increases,Previous Savings and Growth %,Next Year Savings (₹),"₹17,00,025 × 1.07 = ₹18,19,027",Early career: 8-12%
Page 4 - Stress,Expense Growth,"Expensesₙ = Expensesₙ₋₁ × (1 + Growth%/100)",Lifestyle inflation,Previous Expenses and Growth %,Next Year Expenses (₹),"₹23,17,975 × 1.06 = ₹24,57,054",Should be ≤ Inflation
Page 4 - Stress,Max Age Check,"Current Age + n > Max Working Age",Determine if FIRE achievable within working years,Current Age and Max Age,Boolean,35 + 30 = 65 → At limit,Typical max: 60-65
Page 4 - Scenario,Job Gap Impact,"Annual Savings × (1 - Loss%) for Gap Years",Lost savings during unemployment,Savings and Loss % and Duration,Reduced Savings (₹),"₹17,00,025 × 0 = ₹0 for 2 years",100% loss typical
Page 4 - Scenario,Post-Gap Reduction,"Annual Savings × (1 - Reduction%)",Lower pay after career break,Savings and Reduction %,Reduced Savings (₹),"₹17,00,025 × 0.80 = ₹13,60,020",20-30% reduction common
