Section,Category,Formula Name,Excel Formula,Formula Description,Definition,Input Variables,Output,Example Value,Notes

INPUT VARIABLES,,,,,,,,,
,Page 1 Inputs,Monthly Take Home Salary,,"Enter value in cell I11","Monthly salary after tax",Manual Entry,₹,230000,"User enters this"
,Page 1 Inputs,Annual Bonus,,"Enter value in cell I12","Annual bonus amount",Manual Entry,₹,850000,"User enters this"
,Page 1 Inputs,Monthly Rental Income,,"Enter value in cell I13","Monthly rental income",Manual Entry,₹,12000,"User enters this"
,Page 1 Inputs,Monthly Business Income,,"Enter value in cell I14","Monthly business income",Manual Entry,₹,8000,"User enters this"
,Page 1 Inputs,Monthly Investment Income,,"Enter value in cell I15","Monthly investment returns",Manual Entry,₹,14000,"User enters this"
,Page 1 Inputs,Monthly Other Income,,"Enter value in cell I16","Monthly other income",Manual Entry,₹,0,"User enters this"
,Page 1 Inputs,Monthly Rent,,"Enter value in cell I17","Monthly house rent",Manual Entry,₹,38000,"User enters this"
,Page 1 Inputs,Monthly School Fees,,"Enter value in cell I18","Monthly education cost",Manual Entry,₹,13000,"User enters this"
,Page 1 Inputs,Monthly Household Expenses,,"Enter value in cell I19","Monthly household spending",Manual Entry,₹,64998,"User enters this"
,Page 1 Inputs,Monthly Loan EMIs,,"Enter value in cell I20","Monthly loan payments",Manual Entry,₹,24000,"User enters this"
,Page 1 Inputs,Annual Vacation Budget,,"Enter value in cell I21","Annual vacation spending",Manual Entry,₹,399999,"User enters this"
,Page 1 Inputs,Annual Discretionary Purchases,,"Enter value in cell I22","Annual discretionary spending",Manual Entry,₹,200000,"User enters this"
,Page 1 Inputs,Annual Life Insurance,,"Enter value in cell I23","Annual life insurance premium",Manual Entry,₹,26000,"User enters this"
,Page 1 Inputs,Annual Health Insurance,,"Enter value in cell I24","Annual health insurance premium",Manual Entry,₹,4500,"User enters this"
,Page 1 Inputs,Annual Maintenance,,"Enter value in cell I25","Annual maintenance costs",Manual Entry,₹,7500,"User enters this"
,Page 2 Inputs,Total Assets,,"Enter value in cell I26","Sum of all assets (MF + FD + House + PF + Gold)",Manual Entry,₹,17600000,"From Page 2 balance sheet"
,Page 2 Inputs,Total Liabilities,,"Enter value in cell I27","Sum of all loans (House + Car + Personal + Education)",Manual Entry,₹,8500000,"From Page 2 balance sheet"
,Page 3 Inputs,Current Age,,"Enter value in cell I28","Your current age in years",Manual Entry,years,32,"User enters this"
,Page 4 Inputs,Retirement Expense Percentage,,"Enter value in cell I29","Expected expenses in retirement as % of current",Manual Entry,%,80,"Default 80%; 60-70% frugal, 100%+ luxury"
,Page 4 Inputs,Portfolio ROI,,"Enter value in cell I30","Annual investment return percentage",Manual Entry,%,12,"Typical: 8-15%"
,Page 4 Inputs,Inflation Rate,,"Enter value in cell I31","Annual inflation percentage",Manual Entry,%,6,"India typical: 5-7%"
,Page 4 Inputs,Income Growth Rate,,"Enter value in cell I32","Annual income increase percentage",Manual Entry,%,7,"Early: 8-12%, Mid: 5-8%, Late: 3-5%"
,Page 4 Inputs,Expense Growth Rate,,"Enter value in cell I33","Annual expense increase percentage",Manual Entry,%,6,"Should be ≤ Inflation"
,Page 4 Inputs,Market Crash Year 1,,"Enter value in cell I34","Portfolio decline in first year",Manual Entry,%,0,"0-60%; simulate recession"
,Page 4 Inputs,Savings Rate Shock (3 yrs),,"Enter value in cell I35","Savings reduction for first 3 years",Manual Entry,%,0,"0-80%; temporary reduction"
,Page 4 Inputs,Maximum Working Age,,"Enter value in cell I36","Latest age willing to work",Manual Entry,years,65,"Typical: 60-65"
,Scenario Inputs,Job Gap Duration,,"Enter value in cell I37","Years without employment",Manual Entry,years,0,"0-5 years"
,Scenario Inputs,Income Loss During Gap,,"Enter value in cell I38","Income loss % during gap",Manual Entry,%,100,"Typically 100%"
,Scenario Inputs,Post-Gap Duration,,"Enter value in cell I39","Years of reduced income after gap",Manual Entry,years,0,"0-5 years"
,Scenario Inputs,Post-Gap Income Reduction,,"Enter value in cell I40","Income reduction % after gap",Manual Entry,%,0,"20-50%"
,Scenario Inputs,One-Time Emergency (Year 1),,"Enter value in cell I41","Large one-time expense",Manual Entry,₹,0,"Medical/family emergency"
,Scenario Inputs,Medical Monthly Cost,,"Enter value in cell I42","Recurring medical expense per month",Manual Entry,₹,0,"Ongoing treatment"
,Scenario Inputs,Medical Duration,,"Enter value in cell I43","Years of medical expenses",Manual Entry,years,0,"0-10 years"
,Scenario Inputs,Caregiving Break,,"Enter value in cell I44","Years of caregiving (no savings)",Manual Entry,years,0,"0-5 years"

CALCULATED FORMULAS,,,,,,,,,
,Page 1 - Income,Total Annual Income,=(I11*12)+I12+(I13*12)+(I14*12)+(I15*12)+(I16*12),"Total Annual Income = (Monthly Salary × 12) + Annual Bonus + (Rental Income × 12) + (Business Income × 12) + (Investment Income × 12) + (Other Income × 12)","Sum of all income sources converted to annual basis","Monthly Salary, Bonus, Rental, Business, Investment, Other Income",₹,4018000,"Monthly amounts multiplied by 12"
,Page 1 - Expenses,Total Annual Expenses,=(I17*12)+(I18*12)+(I19*12)+(I20*12)+I21+I22+I23+I24+I25,"Total Annual Expenses = (Monthly Rent × 12) + (School Fees × 12) + (Household × 12) + (EMI × 12) + Vacation + Discretionary + Life Insurance + Health Insurance + Maintenance","Sum of all expenses converted to annual basis","Rent, School Fees, Household, EMI, Vacation, Discretionary, Insurance, Maintenance",₹,2317975,"Monthly amounts multiplied by 12"
,Page 1 - Savings,Net Annual Savings,=[Total Annual Income]-[Total Annual Expenses],"Net Savings = Total Annual Income - Total Annual Expenses","Amount available for investment after all expenses","Total Income, Total Expenses",₹,1700025,"Higher savings rate accelerates FIRE"
